Authors,None,Portability,Efficiency,Reliability,Functionality,Maintainability,Usability,Total,Total Topics,None %,Portability %,Efficiency %,Reliability %,Functionality %,Maintainability %,Usability %
momjian,10,221,120,156,230,138,175,1050,640,0.95,21.05,11.43,14.86,21.90,13.14,16.67
thomas,4,5,6,6,18,9,7,55,,7.27,9.09,10.91,10.91,32.73,16.36,12.73
davec,2,22,10,17,33,18,18,120,,1.67,18.33,8.33,14.17,27.50,15.00,15.00
neilc,1,25,22,23,21,15,35,142,,0.70,17.61,15.49,16.20,14.79,10.56,24.65
ishii,3,12,13,10,21,22,12,93,,3.23,12.90,13.98,10.75,22.58,23.66,12.90
darcy,1,4,0,3,4,4,2,18,,5.56,22.22,0.00,16.67,22.22,22.22,11.11
barry,2,23,23,34,36,23,27,168,,1.19,13.69,13.69,20.24,21.43,13.69,16.07
wieck,0,8,4,5,13,3,10,43,,0.00,18.60,9.30,11.63,30.23,6.98,23.26
inoue,1,7,19,9,17,10,7,70,,1.43,10.00,27.14,12.86,24.29,14.29,10.00
pgsql,1,9,7,3,9,8,7,44,,2.27,20.45,15.91,6.82,20.45,18.18,15.91
teodor,0,18,10,7,19,10,14,78,,23.08,12.82,8.97,24.36,12.82,17.95,17.95
jurka,0,9,6,12,8,7,6,48,,0.00,18.75,12.50,25.00,16.67,14.58,12.50
tgl,21,217,125,157,227,135,176,1058,,1.98,20.51,11.81,14.84,21.46,12.76,16.64
scrappy,0,6,2,4,3,5,2,22,,0.00,27.27,9.09,18.18,13.64,22.73,9.09
petere,7,97,47,61,99,68,96,475,,1.47,20.42,9.89,12.84,20.84,14.32,20.21
dennis,0,7,4,3,4,0,11,29,,0.00,24.14,13.79,10.34,13.79,0.00,37.93
meskes,2,62,21,38,58,28,48,257,,0.78,24.12,8.17,14.79,22.57,10.89,18.68
joe,1,11,4,11,6,5,9,47,,2.13,23.40,8.51,23.40,12.77,10.64,19.15
